Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-01-03,129.4784937214262,129.94720106314531,127.59481216314741,127.61250305175781,33860400,0.0,0.0,0.0
2022-01-04,127.0022822835978,127.46215087992869,126.23289738708083,127.08187103271484,21996400,0.0,0.0,0.0
2022-01-05,127.47099696781387,127.48868785559665,126.20637512231386,126.39208221435547,20911700,0.0,0.0,0.0
2022-01-06,126.10025313760056,126.85196074384687,125.83494377691395,126.71929931640625,18996400,0.0,0.0,0.0
2022-01-07,126.57780144220435,126.67508108267528,125.18935689131877,125.80840301513672,18756800,0.0,0.0,0.0
2022-01-10,125.26894040681925,126.29479593722375,125.01248327131457,126.11792755126953,13775800,0.0,0.0,0.0
2022-01-11,126.35671360653136,127.01998020763922,126.19752260528482,126.95806884765625,24388700,0.0,0.0,0.0
2022-01-12,127.25875557067756,127.35603521889927,126.46284099009603,126.4716796875,14440600,0.0,0.0,0.0
2022-01-13,126.8077270481189,127.71861207929913,126.48935854732433,127.59480285644531,15166000,0.0,0.0,0.0
2022-01-14,126.83421957900936,126.8696013433131,125.39271630289048,125.66687774658203,22997500,0.0,0.0,0.0
2022-01-18,124.65875487363216,124.96827119629627,123.82745856019102,123.89820861816406,21171700,0.0,0.0,0.0
2022-01-19,124.27849053240331,125.32203715019679,124.08393122220784,124.75605010986328,17930500,0.0,0.0,0.0
2022-01-20,125.02131683560951,125.56962635201062,124.77369840659959,125.52540588378906,13959000,0.0,0.0,0.0
2022-01-21,126.81654705737047,127.43560657461002,126.17097145434803,127.01995849609375,28916600,0.0,0.0,0.0
2022-01-24,127.61243397403192,127.67433180937118,125.95868088610254,125.97637176513672,25001600,0.0,0.0,0.0
2022-01-25,126.56007056690122,127.09068907348808,125.40156743818206,125.77299499511719,15599000,0.0,0.0,0.0
2022-01-26,125.80839856449032,126.08256008280475,124.24309916982388,124.25193786621094,23655500,0.0,0.0,0.0
2022-01-27,125.94106044456083,126.79003410344168,125.87031039062192,126.53357696533203,21501800,0.0,0.0,0.0
2022-01-28,125.65806730661187,126.86964349404339,125.44583062703373,126.57780456542969,12826500,0.0,0.0,0.0
2022-01-31,125.73765739992103,126.41861490726842,125.54311160630141,125.92337799072266,13998400,0.0,0.0,0.0
2022-02-01,126.00129757411638,126.07214614459488,124.92088052203971,125.50537109375,20806100,0.198,0.0,0.0
2022-02-02,125.70908418547775,127.14374445397524,125.69136866011723,125.93048095703125,18404600,0.0,0.0,0.0
