Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-02-19,158.2998047843133,158.8891008494742,158.16169400729373,158.52999877929688,2488100,0.0,0.0,0.0
2020-02-20,158.33670674184722,158.76945869880777,156.43989566592577,158.05125427246094,7061600,0.0,0.0,0.0
2020-02-21,157.406669207601,157.4803329805266,155.97946346326466,156.43064880371094,2983500,0.0,0.0,0.0
2020-02-24,151.4676912561011,152.72915020705867,150.62978150695636,151.28353881835938,8710900,0.0,0.0,0.0
2020-02-25,151.9649057533198,152.28718306001858,146.19164879562544,146.66123962402344,10112300,0.0,0.0,0.0
2020-02-26,147.33337164281755,148.9907713533807,145.48261682847982,145.85092163085938,8210300,0.0,0.0,0.0
2020-02-27,142.75715171002042,145.0498897604561,139.40552653203545,139.46078491210938,14384200,0.0,0.0,0.0
2020-02-28,134.82006646330498,138.65970201391042,133.78880148566464,138.52159118652344,22272400,0.0,0.0,0.0
2020-03-02,139.41473293241776,144.39613572928678,137.72971073856272,144.2580108642578,12071600,0.0,0.0,0.0
2020-03-03,144.87491855156605,146.67964601846032,139.1108648117688,140.53807067871094,8623100,0.0,0.0,0.0
2020-03-04,143.19908681853573,146.1731893513587,141.8455449805479,146.15476989746094,5226600,0.0,0.0,0.0
2020-03-05,142.54534855598175,143.97255434863106,140.0592558477792,141.2838897705078,5343100,0.0,0.0,0.0
2020-03-06,137.17721790241274,139.35025003598918,135.46457381366244,138.65966796875,9947700,0.0,0.0,0.0
2020-03-09,128.90866055815658,132.2510824671775,127.28809959768564,127.52749633789062,18537100,0.0,0.0,0.0
2020-03-10,132.91407444543768,133.8900951482971,126.97505562721504,133.85325622558594,11693300,0.0,0.0,0.0
2020-03-11,130.2437578945792,130.9343398707434,125.50176727822235,127.07628631591797,10760200,0.0,0.0,0.0
2020-03-12,118.94584894602349,123.08013866143726,114.55375709850028,114.71949005126953,20969500,0.0,0.0,0.0
2020-03-13,121.54243634144666,125.16107940673828,115.09700411121842,125.16107940673828,15351600,0.0,0.0,0.0
2020-03-16,111.46918193057444,117.85016227400035,110.49316125415189,110.91671752929688,14652900,0.0,0.0,0.0
2020-03-17,112.52804950835448,117.27925769019717,108.65158286113513,116.47817993164062,16645800,0.0,0.0,0.0
2020-03-18,109.11198154148587,112.66617829546733,104.04771235601606,109.76573181152344,15388000,0.0,0.0,0.0
2020-03-19,108.10833070040005,113.07131356656205,105.51173522407626,110.57600402832031,11083500,0.0,0.0,0.0
2020-03-20,111.55204212392982,112.94241620388412,105.70511444460384,106.06421661376953,12264900,0.0,0.0,0.0
2020-03-23,104.64620049952799,105.79717057315904,100.8157687225012,103.04405212402344,16443000,0.0,0.0,0.0
2020-03-24,108.3109032861891,112.8687497504678,107.73081680162927,112.82270812988281,10986900,0.0,0.0,0.0
2020-03-25,113.75267904543125,118.80773781448931,111.03638536390606,114.3788070678711,14428100,0.0,0.0,0.0
2020-03-26,115.52069825719337,121.80383308009638,115.35414202363539,121.32264709472656,10549100,0.614,0.0,0.0
