Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-01-03,101.16625880378157,101.19237414922563,98.77225472580054,100.199951171875,9845000,0.0,0.0,0.0
2022-01-04,100.47853769414418,101.05310192819017,99.99103347743618,100.07808685302734,5330700,0.0,0.0,0.0
2022-01-05,99.90398314522885,99.93880582487549,97.10952786061962,97.2139892578125,6928300,0.0,0.0,0.0
2022-01-06,97.33585569622471,97.69278314601817,96.2824946475665,97.30103302001953,5974500,0.0,0.0,0.0
2022-01-07,97.04857995884574,97.37067808975254,96.42178507246464,96.65682983398438,6999300,0.0,0.0,0.0
2022-01-10,96.06486299089565,96.19544637314519,94.90703385229469,96.09968566894531,6571900,0.0,0.0,0.0
2022-01-11,95.99522122008351,96.34344137183892,94.76775332128574,96.2476806640625,5568500,0.0,0.0,0.0
2022-01-12,96.25638706549644,96.95282736228684,96.21285705629195,96.36085510253906,4331700,0.0,0.0,0.0
2022-01-13,96.63070795697428,97.05727408736577,96.0039131129524,96.16931915283203,3921700,0.0,0.0,0.0
2022-01-14,95.65570316940381,95.75146387194528,94.16706857773174,95.29878234863281,6465300,0.0,0.0,0.0
2022-01-18,94.67198868353431,94.80257206524024,93.67085827945104,94.29765319824219,5828700,0.0,0.0,0.0
2022-01-19,94.80256608574436,95.20301689377064,93.02664947509766,93.02664947509766,5111000,0.0,0.0,0.0
2022-01-20,93.14854291869007,94.28025684449464,91.77307685914234,91.83401489257812,6982000,0.0,0.0,0.0
2022-01-21,91.86882613708632,92.80031118463306,91.37261460038845,91.607666015625,8031500,0.0,0.0,0.0
2022-01-24,90.67618458888742,92.01682121109813,88.4475796079625,91.78177642822266,15646100,0.0,0.0,0.0
2022-01-25,90.78063549516106,92.11257127495861,89.70115912957456,91.4161376953125,9942900,0.0,0.0,0.0
2022-01-26,91.94716432793066,93.02664060497507,89.37904703371966,89.98843383789062,9589300,0.0,0.0,0.0
2022-01-27,90.52817868287907,91.2942642767784,88.11676646818705,88.49980926513672,7459300,0.0,0.0,0.0
2022-01-28,88.62168906771069,91.37261419021853,87.59444332104874,91.36390686035156,6924500,0.0,0.0,0.0
2022-01-31,91.03309611741251,92.66102133751609,90.59782263370265,92.48690795898438,7457700,0.0,0.0,0.0
2022-02-01,92.40855681572594,92.82641561762888,91.59894791507485,92.15609741210938,9610000,0.0,0.0,0.0
2022-02-02,92.63491097811212,93.60121205356164,92.52173561553721,93.33134460449219,4619300,0.0,0.0,0.0
2022-02-03,92.73936375623815,93.20075256827977,92.26926761517328,92.33891296386719,5453100,0.0,0.0,0.0
2022-02-04,91.738232629637,92.51301886208924,90.56299560841418,91.42483520507812,6865600,0.0,0.0,0.0
2022-02-07,91.35519613655697,91.92104632256255,91.09402940321138,91.29425811767578,5860900,0.0,0.0,0.0
2022-02-08,91.24201884487844,91.57283091897797,90.64134599775576,90.86768341064453,6106100,0.0,0.0,0.0
2022-02-09,91.81658846460031,92.99182552624438,91.81658846460031,92.92218017578125,5746600,0.0,0.0,0.0
2022-02-10,91.65118650212503,92.92218431686142,90.21478263310394,90.72840881347656,6948000,0.0,0.0,0.0
2022-02-11,91.18978714232364,91.53800722825683,89.3616399933565,89.90137481689453,5679000,0.0,0.0,0.0
2022-02-14,90.02326883500696,90.58041838600028,88.70003367008792,89.08307647705078,5350200,0.0,0.0,0.0
2022-02-15,89.85787207662572,90.41502168526779,89.5618826110518,89.88398742675781,3612600,0.0,0.0,0.0
2022-02-16,89.97973696014918,90.52817917003136,89.33553405051427,90.30184173583984,4333000,0.0,0.0,0.0
2022-02-17,89.9623335506824,90.23220766634479,89.22236984876368,89.34424591064453,4847000,0.0,0.0,0.0
2022-02-18,89.11790951300624,90.05809533850027,88.68263596058864,88.80451202392578,4809500,0.0,0.0,0.0
2022-02-22,88.46499859659872,89.11790892088702,87.89914165386607,88.48240661621094,6656900,0.0,0.0,0.0
2022-02-23,89.23107250313828,89.61411532997417,86.98505952318637,87.01988220214844,6201000,0.0,0.0,0.0
2022-02-24,85.32232303768457,88.76098142223739,85.06115625127035,88.48240661621094,9479200,0.0,0.0,0.0
2022-02-25,88.83932433320993,90.74581775382924,88.4388668670012,90.615234375,5870300,0.0,0.0,0.0
2022-02-28,89.86657159662843,90.22349242032448,88.32569965528538,89.2658920288086,7296900,0.0,0.0,0.0
2022-03-01,89.49223955328846,90.03197447451484,88.31699572033453,88.7957992553711,8896200,0.0,0.0,0.0
2022-03-02,89.11790621073354,90.91123105488303,88.98732282149757,90.45854949951172,6946100,0.0,0.0,0.0
2022-03-03,90.96345018782682,91.50319169522507,90.0232645167166,91.19850158691406,6517000,0.0,0.0,0.0
2022-03-04,90.40630373855036,91.70341689619097,90.17125897321478,91.61636352539062,6438500,0.0,0.0,0.0
2022-03-07,91.41614419951394,91.63378095396548,89.7621035373329,89.80563354492188,6506200,0.0,0.0,0.0
2022-03-08,89.76208950942888,90.97214914373315,89.06564934732407,89.37034606933594,7090600,0.0,0.0,0.0
2022-03-09,90.8764101129247,91.65119649099574,90.59783531004238,90.7458267211914,5785900,0.0,0.0,0.0
2022-03-10,89.7882159031208,91.1897970865788,89.54446380891008,90.97216033935547,4034900,0.0,0.0,0.0
2022-03-11,91.66859909093715,92.0951652488434,90.18866524892634,90.24960327148438,5381600,0.0,0.0,0.0
2022-03-14,90.76324669471683,90.9199454456189,89.14402848264471,89.54447937011719,4539900,0.0,0.0,0.0
2022-03-15,90.34536368573183,90.8241671769999,89.32682532257576,90.1451416015625,5245000,0.0,0.0,0.0
2022-03-16,90.80677650584073,91.64250102266426,89.28331890249876,91.21593475341797,6561300,0.0,0.0,0.0
2022-03-17,90.88511138200536,92.62620544433594,90.86769672200387,92.62620544433594,3844300,0.0,0.0,0.0
2022-03-18,92.57396810607823,92.93960290689517,92.06905587572989,92.62620544433594,5815300,0.0,0.0,0.0
2022-03-21,92.69585076561991,93.1224169510397,91.65989767356795,92.06034851074219,4571900,0.0,0.0,0.0
2022-03-22,92.61749969551997,92.86125180572814,92.09517279625287,92.29539489746094,4749800,0.0,0.0,0.0
2022-03-23,91.90762337193912,92.34527872132931,91.13735236112502,91.25989532470703,4595400,0.577,0.0,0.0
2022-03-24,91.28615734910328,91.8638589615617,90.93603171950588,91.83760070800781,3893400,0.0,0.0,0.0
2022-03-25,92.2402486742761,92.98426818847656,91.9163879558556,92.98426818847656,4495100,0.0,0.0,0.0
2022-03-28,93.07179674966247,93.9733657836914,92.87922730975507,93.9733657836914,4130800,0.0,0.0,0.0
2022-03-29,94.9011954037408,96.8881546609477,94.80491068142197,96.73059844970703,5350500,0.0,0.0,0.0
2022-03-30,96.33669953059442,96.5117656883987,95.60144170208967,96.03034210205078,5216200,0.0,0.0,0.0
2022-03-31,96.424236566811,96.71308404238076,94.85742950439453,94.85742950439453,7466900,0.0,0.0,0.0
2022-04-01,95.29508718133738,96.73934462826841,94.98872306535439,96.70433807373047,6568700,0.0,0.0,0.0
2022-04-04,96.73933405797105,96.94941343079198,95.38260650181134,96.23165893554688,6311800,0.0,0.0,0.0
2022-04-05,95.96032042945812,97.1507436495912,95.47014851931795,95.75900268554688,4993700,0.0,0.0,0.0
2022-04-06,95.37385754275407,96.99318107806678,94.91869889577136,96.89689636230469,5050800,0.0,0.0,0.0
2022-04-07,96.33670129625929,96.4154827382379,95.30383431960236,95.9340591430664,5338200,0.0,0.0,0.0
2022-04-08,96.07411812076808,96.51177353371861,95.3913767450599,96.09162139892578,5941000,0.0,0.0,0.0
2022-04-11,95.83778006489403,96.36296522266193,94.85743621788507,95.05875396728516,4315700,0.0,0.0,0.0
2022-04-12,95.10251563053104,95.7852569564224,94.55106557647177,94.918701171875,5094800,0.0,0.0,0.0
2022-04-13,94.97998221968614,95.73275008506282,94.67362475775185,95.59269714355469,4673100,0.0,0.0,0.0
2022-04-14,95.96908607341462,96.3892382417248,95.1025301565093,95.18130493164062,4464700,0.0,0.0,0.0
2022-04-18,94.9887282391208,95.52266837913909,94.33224511727127,94.7961654663086,4256900,0.0,0.0,0.0
2022-04-19,95.28633064805805,97.12448192349073,95.19004592942238,96.86189270019531,7536100,0.0,0.0,0.0
2022-04-20,97.21202335129182,98.79634057143083,97.14200355685006,98.47247314453125,5395900,0.0,0.0,0.0
2022-04-21,98.9713868116924,99.26899594103274,97.70218888803821,97.78971862792969,4820700,0.0,0.0,0.0
2022-04-22,97.5446420446581,97.64092677120483,96.01284807625879,96.0741195678711,4917800,0.0,0.0,0.0
2022-04-25,95.77650208167438,96.22291244065572,94.23595994706896,95.82902526855469,6032300,0.0,0.0,0.0
2022-04-26,95.54892661983904,96.13538323153118,94.192192258494,94.25346374511719,6217500,0.0,0.0,0.0
2022-04-27,94.30597483954828,95.06749756793414,93.55320708820342,93.63198852539062,6007100,0.0,0.0,0.0
2022-04-28,94.09591169091583,95.66271883579135,93.09805790583623,95.35636138916016,7235300,0.0,0.0,0.0
2022-04-29,94.76989561066027,94.9011935638305,90.75222231905344,90.97980499267578,9573900,0.0,0.0,0.0
2022-05-02,90.9185285830603,91.50498517363602,86.97087529250499,88.78276824951172,11885700,0.0,0.0,0.0
2022-05-03,89.08035221964313,90.42833127534544,88.48514077528223,89.8856430053711,7245400,0.0,0.0,0.0
2022-05-04,89.94692272725727,91.10233249839523,88.35385763859601,90.91851806640625,8686700,0.0,0.0,0.0
2022-05-05,90.54215009004378,91.01481871715573,87.81117802609398,88.4939193725586,8884000,0.0,0.0,0.0
2022-05-06,87.86368788737981,88.14378705135078,86.54197350512749,87.44354248046875,9398500,0.0,0.0,0.0
2022-05-09,86.65577394175904,86.65577394175904,83.28582851297567,83.5921859741211,8491700,0.0,0.0,0.0
2022-05-10,84.53751361460321,85.13272519015578,81.41265451247499,82.06913757324219,12528300,0.0,0.0,0.0
2022-05-11,82.24419912986991,83.81100620919872,81.71901400360284,81.89407348632812,9095800,0.0,0.0,0.0
2022-05-12,81.74526953490762,82.62933525282799,81.29885918731145,82.53305053710938,8312300,0.0,0.0,0.0
2022-05-13,83.25079539686924,84.73882081170673,82.71685537291327,84.71256256103516,7536700,0.0,0.0,0.0
2022-05-16,84.51125700813917,84.8963892035285,84.00357516184054,84.17863464355469,4614200,0.0,0.0,0.0
2022-05-17,85.18524918659746,85.35156038026791,84.06485239955613,85.32530212402344,4492000,0.0,0.0,0.0
2022-05-18,85.07144978817941,85.19399275296668,82.52429242419227,82.84815979003906,5130300,0.0,0.0,0.0
2022-05-19,82.18291307417776,83.46962074619101,82.18291307417776,82.48052215576172,6365100,0.0,0.0,0.0
2022-05-20,83.24204536467485,83.44336976193132,81.71025165567892,83.0057144165039,4471300,0.0,0.0,0.0
