Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-02-19,77.2021713256836,77.2021713256836,77.2021713256836,77.2021713256836,0,0.0,0.0,0.0
2020-02-20,76.99022674560547,76.99022674560547,76.99022674560547,76.99022674560547,0,0.0,0.0,0.0
2020-02-21,76.1794204711914,76.1794204711914,76.1794204711914,76.1794204711914,0,0.0,0.0,0.0
2020-02-24,73.67330169677734,73.67330169677734,73.67330169677734,73.67330169677734,0,0.0,0.0,0.0
2020-02-25,71.40670013427734,71.40670013427734,71.40670013427734,71.40670013427734,0,0.0,0.0,0.0
2020-02-26,71.01971435546875,71.01971435546875,71.01971435546875,71.01971435546875,0,0.0,0.0,0.0
2020-02-27,67.96074676513672,67.96074676513672,67.96074676513672,67.96074676513672,0,0.0,0.0,0.0
2020-02-28,67.3802719116211,67.3802719116211,67.3802719116211,67.3802719116211,0,0.0,0.0,0.0
2020-03-02,70.3010482788086,70.3010482788086,70.3010482788086,70.3010482788086,0,0.0,0.0,0.0
2020-03-03,68.41222381591797,68.41222381591797,68.41222381591797,68.41222381591797,0,0.0,0.0,0.0
2020-03-04,71.17634582519531,71.17634582519531,71.17634582519531,71.17634582519531,0,0.0,0.0,0.0
2020-03-05,68.78998565673828,68.78998565673828,68.78998565673828,68.78998565673828,0,0.0,0.0,0.0
2020-03-06,67.5645523071289,67.5645523071289,67.5645523071289,67.5645523071289,0,0.0,0.0,0.0
2020-03-09,62.26664733886719,62.26664733886719,62.26664733886719,62.26664733886719,0,0.0,0.0,0.0
2020-03-10,65.2058334350586,65.2058334350586,65.2058334350586,65.2058334350586,0,0.0,0.0,0.0
2020-03-11,61.88888168334961,61.88888168334961,61.88888168334961,61.88888168334961,0,0.0,0.0,0.0
2020-03-12,55.91834259033203,55.91834259033203,55.91834259033203,55.91834259033203,0,0.0,0.0,0.0
2020-03-13,60.93986892700195,60.93986892700195,60.93986892700195,60.93986892700195,0,0.0,0.0,0.0
2020-03-16,53.44906234741211,53.44906234741211,53.44906234741211,53.44906234741211,0,0.0,0.0,0.0
2020-03-17,56.535675048828125,56.535675048828125,56.535675048828125,56.535675048828125,0,0.0,0.0,0.0
2020-03-18,53.22793960571289,53.22793960571289,53.22793960571289,53.22793960571289,0,0.0,0.0,0.0
2020-03-19,53.882118225097656,53.882118225097656,53.882118225097656,53.882118225097656,0,0.0,0.0,0.0
2020-03-20,51.63395690917969,51.63395690917969,51.63395690917969,51.63395690917969,0,0.0,0.0,0.0
2020-03-23,50.205833435058594,50.205833435058594,50.205833435058594,50.205833435058594,0,0.0,0.0,0.0
2020-03-24,54.95090866088867,54.95090866088867,54.95090866088867,54.95090866088867,0,0.0,0.0,0.0
2020-03-25,55.716705322265625,55.716705322265625,55.716705322265625,55.716705322265625,0,0.297,0.0,0.0
2020-03-26,59.17991256713867,59.17991256713867,59.17991256713867,59.17991256713867,0,0.0,0.0,0.0
2020-03-27,57.18901824951172,57.18901824951172,57.18901824951172,57.18901824951172,0,0.0,0.0,0.0
2020-03-30,58.994693756103516,58.994693756103516,58.994693756103516,58.994693756103516,0,0.0,0.0,0.0
2020-03-31,58.10576248168945,58.10576248168945,58.10576248168945,58.10576248168945,0,0.0,0.0,0.0
2020-04-01,55.401878356933594,55.401878356933594,55.401878356933594,55.401878356933594,0,0.0,0.0,0.0
2020-04-02,56.54084014892578,56.54084014892578,56.54084014892578,56.54084014892578,0,0.0,0.0,0.0
2020-04-03,55.6055793762207,55.6055793762207,55.6055793762207,55.6055793762207,0,0.0,0.0,0.0
2020-04-06,59.58732986450195,59.58732986450195,59.58732986450195,59.58732986450195,0,0.0,0.0,0.0
2020-04-07,59.55955505371094,59.55955505371094,59.55955505371094,59.55955505371094,0,0.0,0.0,0.0
2020-04-08,61.70785140991211,61.70785140991211,61.70785140991211,61.70785140991211,0,0.0,0.0,0.0
2020-04-09,62.80976486206055,62.80976486206055,62.80976486206055,62.80976486206055,0,0.0,0.0,0.0
2020-04-13,62.07823944091797,62.07823944091797,62.07823944091797,62.07823944091797,0,0.0,0.0,0.0
2020-04-14,63.93949508666992,63.93949508666992,63.93949508666992,63.93949508666992,0,0.0,0.0,0.0
2020-04-15,62.448631286621094,62.448631286621094,62.448631286621094,62.448631286621094,0,0.0,0.0,0.0
2020-04-16,62.75422286987305,62.75422286987305,62.75422286987305,62.75422286987305,0,0.0,0.0,0.0
2020-04-17,64.55062103271484,64.55062103271484,64.55062103271484,64.55062103271484,0,0.0,0.0,0.0
2020-04-20,63.448707580566406,63.448707580566406,63.448707580566406,63.448707580566406,0,0.0,0.0,0.0
2020-04-21,61.51337432861328,61.51337432861328,61.51337432861328,61.51337432861328,0,0.0,0.0,0.0
2020-04-22,62.89310836791992,62.89310836791992,62.89310836791992,62.89310836791992,0,0.0,0.0,0.0
2020-04-23,62.93940353393555,62.93940353393555,62.93940353393555,62.93940353393555,0,0.0,0.0,0.0
2020-04-24,63.819087982177734,63.819087982177734,63.819087982177734,63.819087982177734,0,0.0,0.0,0.0
2020-04-27,64.96732330322266,64.96732330322266,64.96732330322266,64.96732330322266,0,0.0,0.0,0.0
2020-04-28,64.72655487060547,64.72655487060547,64.72655487060547,64.72655487060547,0,0.0,0.0,0.0
2020-04-29,66.60631561279297,66.60631561279297,66.60631561279297,66.60631561279297,0,0.0,0.0,0.0
